Cliente;Tipo de Cliente;Itens;Vendas Líquidas ($);Método de Pagamento;Gênero;Estado Civil;Idade;Região
1;Retorno;1;39.5;Discover;Masculino;Casado(a);32;Maringá
2;1Compra;1;102.4;Boleto;Feminino;Casado(a);36;Francisco Beltrão
3;Regular;1;22.5;Boleto;Feminino;Casado(a);32;Pato Branco
4;Retorno;5;100.4;Boleto;Feminino;Casado(a);28;Francisco Beltrão
5;1Compra;2;54;MasterCard;Feminino;Casado(a);34;Pato Branco
6;1Compra;1;44.5;MasterCard;Feminino;Casado(a);44;Guarapuava
7;1Compra;2;78;Boleto;Feminino;Casado(a);30;Toledo
8;1Compra;1;22.5;Visa;Feminino;Casado(a);40;Francisco Beltrão
9;Regular;2;56.52;Boleto;Feminino;Casado(a);46;Francisco Beltrão
10;Retorno;1;44.5;Boleto;Feminino;Casado(a);36;Toledo
11;Retorno;1;29.5;Boleto;Feminino;Casado(a);48;Francisco Beltrão
12;Retorno;1;31.6;Boleto;Feminino;Casado(a);40;Pato Branco
13;Retorno;9;160.4;Visa;Feminino;Casado(a);40;Guarapuava
14;Regular;2;64.5;Visa;Feminino;Casado(a);46;Colombo
15;1Compra;1;49.5;Visa;Masculino;Solteiro(a);24;Colombo
16;Retorno;2;71.4;Boleto;Masculino;Solteiro(a);36;Colombo
17;1Compra;3;94;Boleto;Feminino;Solteiro(a);22;Guarapuava
18;1Compra;3;54.5;Discover;Feminino;Casado(a);40;Londrina
19;Regular;2;38.5;MasterCard;Feminino;Casado(a);32;Pato Branco
20;Retorno;6;44.8;Boleto;Feminino;Casado(a);56;Maringá
21;1Compra;1;31.6;Boleto;Feminino;Solteiro(a);28;Francisco Beltrão
22;1Compra;4;70.82;Boleto;Feminino;Casado(a);38;Pato Branco
23;Retorno;7;266;American Express;Feminino;Casado(a);50;Toledo
24;1Compra;2;74;Boleto;Feminino;Casado(a);42;Colombo
25;Retorno;2;39.5;Visa;Masculino;Casado(a);48;Guarapuava
26;Regular;1;30.02;Boleto;Feminino;Casado(a);60;Pato Branco
27;1Compra;1;44.5;Boleto;Feminino;Casado(a);54;Toledo
28;Retorno;5;192.8;Boleto;Feminino;Solteiro(a);42;Maringá
29;Retorno;3;71.2;Boleto;Feminino;Casado(a);32;Guarapuava
30;1Compra;1;18;Boleto;Feminino;Casado(a);70;Pato Branco
31;Retorno;2;63.2;MasterCard;Feminino;Casado(a);28;Colombo
32;Regular;1;75;Boleto;Feminino;Casado(a);52;Toledo
33;Retorno;3;63.2;Boleto;Feminino;Casado(a);44;Pato Branco
34;Retorno;1;40;Boleto;Feminino;Casado(a);34;Foz do Iguaçu
35;Regular;5;105.5;MasterCard;Feminino;Casado(a);56;Curitiba0
36;Retorno;1;29.5;MasterCard;Masculino;Solteiro(a);36;Francisco Beltrão
37;Retorno;2;102.5;Visa;Feminino;Solteiro(a);42;Foz do Iguaçu
38;Retorno;6;117.5;Boleto;Feminino;Casado(a);50;Pato Branco
39;Retorno;5;13.23;Boleto;Feminino;Casado(a);44;Foz do Iguaçu
40;Retorno;2;52.5;Boleto;Feminino;Casado(a);58;Toledo
41;Retorno;13;198.8;Boleto;Feminino;Casado(a);42;Pato Branco
42;Regular;4;19.5;Visa;Feminino;Casado(a);46;Foz do Iguaçu
43;Retorno;2;123.5;Boleto;Feminino;Casado(a);48;Londrina
44;1Compra;1;62.4;Boleto;Feminino;Casado(a);54;Foz do Iguaçu
45;Retorno;2;23.8;Boleto;Feminino;Casado(a);38;Guarapuava
46;Retorno;2;39.6;Boleto;Feminino;Casado(a);60;Guarapuava
47;Regular;1;25;MasterCard;Feminino;Casado(a);46;Londrina
48;Retorno;3;63.64;Boleto;Feminino;Casado(a);30;Francisco Beltrão
49;Retorno;1;14.82;Boleto;Feminino;Casado(a);32;Francisco Beltrão
50;Retorno;9;145.2;MasterCard;Feminino;Casado(a);46;Pato Branco
51;1Compra;6;176.62;Boleto;Feminino;Casado(a);38;Guarapuava
52;Retorno;5;118.8;Boleto;Masculino;Casado(a);68;Guarapuava
53;1Compra;1;58;Discover;Feminino;Solteiro(a);78;Maringá
54;Retorno;2;74;Visa;Feminino;Solteiro(a);20;Francisco Beltrão
55;Regular;2;49.5;MasterCard;Feminino;Casado(a);32;Francisco Beltrão
56;Retorno;3;141.6;Boleto;Feminino;Casado(a);38;Foz do Iguaçu
57;Retorno;6;123.1;Boleto;Feminino;Casado(a);54;Francisco Beltrão
58;Regular;2;80.4;Boleto;Feminino;Casado(a);48;Foz do Iguaçu
59;Retorno;4;65.2;MasterCard;Feminino;Casado(a);46;Pato Branco
60;Retorno;4;113;Boleto;Feminino;Solteiro(a);50;Londrina
61;1Compra;1;108.8;Boleto;Feminino;Casado(a);46;Francisco Beltrão
62;Retorno;3;59.91;Boleto;Feminino;Solteiro(a);30;Foz do Iguaçu
63;Retorno;5;53.6;Boleto;Feminino;Casado(a);54;Toledo
64;1Compra;1;31.6;Boleto;Feminino;Solteiro(a);42;Foz do Iguaçu
65;Retorno;2;49.5;Boleto;Feminino;Casado(a);48;Toledo
66;Regular;1;39.6;Boleto;Feminino;Casado(a);62;Maringá
67;Retorno;2;59.5;Boleto;Feminino;Casado(a);34;Guarapuava
68;Regular;5;146.8;Boleto;Feminino;Casado(a);28;Londrina
69;Retorno;2;47.2;Boleto;Masculino;Casado(a);46;Pato Branco
70;1Compra;8;95.05;Boleto;Feminino;Casado(a);54;Toledo
71;Retorno;5;155.32;Boleto;Feminino;Casado(a);30;Maringá
72;Retorno;4;58;MasterCard;Feminino;Casado(a);32;Curitiba0
73;Regular;1;69;Boleto;Feminino;Solteiro(a);22;Francisco Beltrão
74;Retorno;2;46.5;Boleto;Feminino;Casado(a);32;Colombo
75;Retorno;2;45.22;Boleto;Feminino;Casado(a);74;Curitiba0
76;1Compra;4;84.74;Boleto;Feminino;Casado(a);62;Londrina
77;1Compra;2;39;Boleto;Feminino;Casado(a);42;Foz do Iguaçu
78;Retorno;4;111.14;Boleto;Feminino;Casado(a);28;Pato Branco
79;1Compra;3;86.8;Boleto;Feminino;Casado(a);38;Pato Branco
80;Retorno;2;89;Discover;Feminino;Casado(a);54;Toledo
81;Retorno;2;78;MasterCard;Feminino;Casado(a);68;Guarapuava
82;Regular;6;53.2;Boleto;Feminino;Solteiro(a);30;Pato Branco
83;Retorno;4;58.5;Visa;Feminino;Casado(a);36;Pato Branco
84;Retorno;3;46;Boleto;Feminino;Casado(a);44;Londrina
85;Retorno;2;37.5;Visa;Feminino;Casado(a);44;Guarapuava
86;Retorno;1;20.8;Boleto;Feminino;Casado(a);62;Foz do Iguaçu
87;Regular;6;144;MasterCard;Feminino;Solteiro(a);48;CuritibaCuritiba
88;Retorno;4;107;Boleto;Feminino;Casado(a);36;Francisco Beltrão
89;1Compra;1;31.6;Boleto;Feminino;Solteiro(a);20;Toledo
90;Retorno;6;57.6;Boleto;Feminino;Casado(a);42;Foz do Iguaçu
91;Retorno;4;95.2;Boleto;Feminino;Casado(a);54;Francisco Beltrão
92;Retorno;1;22.42;Boleto;Feminino;Casado(a);54;Curitiba0
93;Retorno;5;159.75;Boleto;Feminino;Casado(a);72;Pato Branco
94;Retorno;17;229.5;Boleto;Feminino;Casado(a);30;Pato Branco
95;1Compra;3;66;American Express;Feminino;Casado(a);46;Curitiba0
96;Regular;1;39.5;MasterCard;Feminino;Casado(a);44;Foz do Iguaçu
97;1Compra;9;253;Boleto;Feminino;Casado(a);30;Pato Branco
98;Retorno;10;287.59;Boleto;Feminino;Casado(a);52;Colombo
99;Regular;2;47.6;Boleto;Feminino;Casado(a);30;Guarapuava
100;Retorno;1;28.44;Boleto;Feminino;Casado(a);44;Pato Branco
101;Regular;6.46;75;Visa;Feminino;Casado(a);29;Colombo
102;Retorno;4.45;67;Boleto;Feminino;Casado(a);25;Guarapuava
103;Retorno;6.44;32;Boleto;Feminino;Solteiro(a);33;Londrina
104;1Compra;7.65;77;Boleto;Feminino;Solteiro(a);27;Foz do Iguaçu
105;Retorno;7.7;13;Boleto;Feminino;Solteiro(a);27;Foz do Iguaçu
106;Retorno;7.88;50;Visa;Feminino;Casado(a);27;Francisco Beltrão
107;Retorno;4.15;90;Boleto;Feminino;Solteiro(a);28;Francisco Beltrão
108;1Compra;5.68;61;Visa;Feminino;Casado(a);27;Toledo
109;Retorno;8.89;26;Boleto;Feminino;Casado(a);25;Toledo
110;1Compra;4.6;41;Boleto;Masculino;Casado(a);30;Foz do Iguaçu
111;1Compra;5.03;70;Boleto;Feminino;Casado(a);43;Toledo
112;Regular;4.23;45;Boleto;Feminino;Solteiro(a);26;Londrina
113;1Compra;5.39;30;Boleto;Feminino;Solteiro(a);44;Francisco Beltrão
114;Regular;4.71;60;Boleto;Feminino;Casado(a);37;Toledo
115;1Compra;4.93;69;MasterCard;Feminino;Casado(a);24;Pato Branco
116;Retorno;4.12;75;MasterCard;Feminino;Casado(a);27;Guarapuava
117;1Compra;5.19;101;Boleto;Feminino;Casado(a);39;CuritibaLondrina
118;1Compra;5.42;72;MasterCard;Masculino;Casado(a);39;Colombo
119;Retorno;6.83;48;Visa;Feminino;Casado(a);29;Guarapuava
120;Retorno;5.48;57;Boleto;Feminino;Casado(a);24;Foz do Iguaçu
121;1Compra;5.54;58;Boleto;Feminino;Casado(a);31;Toledo
122;Retorno;5.47;63;Boleto;Feminino;Solteiro(a);29;Pato Branco
123;Regular;7.69;64;Boleto;Feminino;Casado(a);26;Francisco Beltrão
124;Retorno;5.91;90;Boleto;Feminino;Solteiro(a);29;Foz do Iguaçu
125;Retorno;5.75;30;Boleto;Masculino;Casado(a);28;Pato Branco
126;1Compra;5.27;90;Boleto;Masculino;Solteiro(a);28;Pato Branco
127;Retorno;7.95;89;Boleto;Masculino;Casado(a);32;Francisco Beltrão
128;1Compra;7.28;77;Boleto;Feminino;Casado(a);41;Pato Branco
129;Retorno;8.01;103;Boleto;Feminino;Casado(a);22;Pato Branco
130;Retorno;5.08;115;Visa;Feminino;Solteiro(a);29;Francisco Beltrão
131;Regular;7.86;79;Boleto;Feminino;Solteiro(a);28;Francisco Beltrão
132;Retorno;4.26;66;Boleto;Masculino;Casado(a);26;Foz do Iguaçu
133;Regular;6.87;35;Boleto;Feminino;Casado(a);32;CuritibaCuritiba
134;Retorno;7.32;113;Boleto;Feminino;Solteiro(a);30;Pato Branco
135;Regular;7.94;81;Boleto;Feminino;Casado(a);29;Colombo
136;Regular;5.92;56;Visa;Feminino;Casado(a);29;Toledo
137;1Compra;5.25;144;Boleto;Feminino;Casado(a);48;Foz do Iguaçu
138;1Compra;7.05;107;Visa;Feminino;Casado(a);48;Pato Branco
139;Retorno;5.46;87;Boleto;Feminino;Solteiro(a);36;Maringá
140;Regular;7.15;42;Visa;Feminino;Casado(a);36;Toledo
141;1Compra;4.35;71;Boleto;Feminino;Solteiro(a);26;Pato Branco
142;1Compra;4.84;66;Boleto;Feminino;Casado(a);30;Toledo
143;Regular;4.31;58;Boleto;Masculino;Casado(a);27;Francisco Beltrão
144;1Compra;5.48;160;Boleto;Masculino;Solteiro(a);26;Foz do Iguaçu
145;Retorno;6;56;Boleto;Masculino;Solteiro(a);42;Foz do Iguaçu
146;Retorno;6.09;75;Boleto;Masculino;Casado(a);26;Pato Branco
